리뷰 내용,상품 URL
사이즈가 작을 줄 알았는데 더 길었으면 별로였을 것 같아요,https://www.musinsa.com/review/goods/2086653
진짜 이뻐요 그냥 입어도 이쁘고 그냥 이뻐요 옷 자체가 이쁩니다,https://www.musinsa.com/review/goods/2086653
"레이어드 티가 낡아서 새로 구매했는데 기장도 좋고 최고에요!
두께도 적당해서 너무 안 흐물거려서 좋아용
착용감도 편하고 패딩안에 바로 레이어드 해 입어도 좋아요",https://www.musinsa.com/review/goods/2086653
기본적인 레이어드티입니다. 기장이 살짝 길어서 루즈한 니트나 후드에 적합합니다,https://www.musinsa.com/review/goods/2086653
길이 딱 맞고 너무 안 길어서 좋아요. s사이즈가 딱 맞습니다.,https://www.musinsa.com/review/goods/2086653
맨투맨 아래 입었습니다. 정말 기본중에 기본입니다. 기본티가 제일 중요한거 아시죠??! 겨울 맨투맨이나 후드티 입을때 안에 입으려 샀습니다. 길이도 딱 좋고 맘에 듭니다!!휘뚜르막뚜르 예정!!,https://www.musinsa.com/review/goods/2086653
레이어드 티라서 얇을줄 알았는데 두꺼웠어요 물론 질이 좋고 오래 입겠지만 레이어드용으로 산거라 이 레이어드 티가 위에 입는 옷에 영향을 주지 않으면 좋겠어서 흐물한 재질을 원했는데 톡톡한 느낌에 가까워서 아쉬웠어요! 뭐 이건 취향차이니까 참고하시면 좋을것같습니다.,https://www.musinsa.com/review/goods/2086653
조금 길긴한데 이쁘고 기본템으로 앞으로 달 입을꺼 같아요,https://www.musinsa.com/review/goods/2086653
"완벽한 기본템으로 추천하는 티셔츠 입니다

첫번째로 여유있는 레귤러 핏으로 깔끔하게 딱 떨어지는 핏!!

두번째로 적당한 길이와 옆선 트임으로 레이어드 포인트 주기 너무 좋습니다!!

세번째로 촘촘하게 짜인 코튼 100% 코마수 16수 저지 원단을 사용해 착용감이 편안합니다!!

맨투맨이나 후드티에 밋밋한 부분을 레이어드로 채워줄 수 있어 대만족 하는 무신사 아이템 극 추천합니다",https://www.musinsa.com/review/goods/2086653
"이너로 입으려고 샀어요!
딱 기본티이고 목도 탄탄하니 오래입을거같아요!",https://www.musinsa.com/review/goods/2086653
저번에 무탠다드 레이어드티 샀다가 너무 길어서 수선하고 입었었는데 기장 줄여서 나왔길래 한 번 사봤습니다. 기장이 줄었어도 여전히 좀 길긴한데 이너용으로 입어서 괜찮을거 같아요. 옷자체는 여전히 좋아서 잘입겠습니다!!,https://www.musinsa.com/review/goods/2086653
후드나 맨투맨이랑 매치하면 딱 좋아요 기장도 그렇게 짧지 않아요,https://www.musinsa.com/review/goods/2086653
이거 안 샀으면 나는 옷이 없어요 레이어드용.. 더사고싶다..,https://www.musinsa.com/review/goods/2086653
벌써 58벌째 구매하는 반팔입니다후후 좋아요,https://www.musinsa.com/review/goods/2086653
생각보다 퀄리티가 좋아요 다음에도 계속 구매 할께요,https://www.musinsa.com/review/goods/2086653
레이어드티가 빳빳(?)했으면 좋겠는사람들은 무조건 사세요 빳빳(?)해서 레이어드를 했을 때 모양을 이쁘게 잡아 줍니다! 제가 키가 꽤 작은 편이라서 클까봐 걱정했는데 딱 맞고 심심한 코디에 무난한 포인트를 주는 느낌입니다 앞으로 많이 입게 될 것 같아요,https://www.musinsa.com/review/goods/2086653
적당한 길이에 옷에 촉감도 만족하고 핏도 괜찮아서 좋음,https://www.musinsa.com/review/goods/2086653
레이어드용으로 두께나 기장이나 딱 좋은거 같습니다,https://www.musinsa.com/review/goods/2086653
기장감 딱 좋고 탄탄해요 근데 한번 빨았더니 목이 쭈글쭈글 해졌어요 힝,https://www.musinsa.com/review/goods/2086653
레이어드용 티셔츠가 있는걸 나중에야 알겠되었습니다. GOOD~,https://www.musinsa.com/review/goods/2086653
"생각보다 많이 길어요
길이만 조금 아쉽네요 ㅎㅎ
재질은 좋아요!",https://www.musinsa.com/review/goods/2086653
레이어드 하기 좋고 오버핏이면 이정도 기장 추천드려요,https://www.musinsa.com/review/goods/2086653
후드나 맨투맨에 레이어드하려고 샀는데 기장도 어느정도 있어서 핏이 예쁘게 나오는거 같아요,https://www.musinsa.com/review/goods/2086653
레이어드용으로 구매했어요~!! 막입기 좋습니다 :) 데일리로 하나씩 입기 정말 편해요,https://www.musinsa.com/review/goods/2086653
"남자뇽이라 기장이 긴거 말고는 소매길이나 재질은 탄탄해서 좋아용 흐물 거리는 소재보단 탄탄한거 좋아하시는 분이라몀 추천드립니당
전 수선해서 기장 조절해서 입으려구요 ㅎ",https://www.musinsa.com/review/goods/2086653
저번에 앞서 M 구매했는데 세탁이후 줄어들어서 저랑 체형 비슷하신분들은 세탁 이후 생각하셔서 L사는게 나을거같아요 아님말구 ㅋ,https://www.musinsa.com/review/goods/2086653
배송이 엄청엄청 빨랐습니다..... 진짜 머랄까 설연휴지나고 하루만에 와버림 옷이 이렇게 클줄은 몰랏는데 겁나 이쁩니다 레이어드용으로 적합..... 제 키랑 몸무게 같으신분은 m까지 사셔도.. 적합ㅎ라듯여 L사면 오우.. 엉덩이보다 밑에 허벅지 정도까지 옵니다 같이 입으시려는 옷 길이 총장보시구 사셔요! 암튼 여가까징,https://www.musinsa.com/review/goods/2086653
이너티로 딱! 아우터없이 바지에 넣입해서 입어도 깔끔하니 좋네요😄,https://www.musinsa.com/review/goods/2086653
수선 할 필요도 없고 스타일 핏 색상 다 맘에 들어요,https://www.musinsa.com/review/goods/2086653
편하게 맨투맨이나 후드티에 레이어드 할수도 있고 단품으로 입어도 괜찮은 기본 반팔티입니다,https://www.musinsa.com/review/goods/2086653
"무탠다드 레이어드 크루 넥 반팔 티셔츠

이미 전에도 M 사이즈로 구매하여 잘 입고 있었는데 최근 숏한 기장감의 상의를 많이 입다 보니 좀 더 짧은 레이어드 티셔츠의 필요성을 느껴 재구매하였습니다.

그런데 제품을 배송받고 확인해 보니 S로 구매를 하였지만 M 사이즈와 기장 차이가 똑같더라구요. 아마 M 사이즈는 세탁을 하여 옷을 줄어서 그런 것 같습니다.

무탠다드 레이어드 티셔츠는 정말 무난한 흰색 무지 레이어드 끝판왕이라 생각합니다. 가격도 저렴하며 그렇다고 제품의 질이 떨어지는 것도 아니어서 재구매를 여러 번 재구매를 할 정도로 만족하여 사용하고 있습니다.",https://www.musinsa.com/review/goods/2086653
"158 라지 사이즈 궁댕이 다 덮음
레이어드 하려고 샀는데 맘에 듭니다",https://www.musinsa.com/review/goods/2086653
생각보다 질은 좋아뜸 근데 넘 길어서 바로 건조기행 ㅠ,https://www.musinsa.com/review/goods/2086653
가격도 착하고 코디 할때 레이어드 해서 입는거 이뻐서 추천 드려요,https://www.musinsa.com/review/goods/2086653
레이어드할 반팔이 필요해서 샀는데 생각보다 사이즈가 큰 것 같아요 그리고 길이도 생각보다 긴 것 같지만 그냥 입으려고요,https://www.musinsa.com/review/goods/2086653
두께도 적당하고 색깔도 적당하니 너무너무 좋네여,https://www.musinsa.com/review/goods/2086653
여름에 무언가 레이어드하면서 포인트줄만한 티셔츠는 무탠다드 제품 밖에 없죠! 어디에 무심하게 툭 걸치기만해도 스타일이 완성되는 걸요!,https://www.musinsa.com/review/goods/2086653
178 76~78키로 105사이즈 딱좋고요 길이는 생각보단 길지만 생각보다 질이 괜찮아요 무조건 레이어드만하려고했는데 그냥 넣입으로 원탑으로 입어도될거같아요 후드안에 보시면 제키 기준  저정도 나와요 그리고 양옆에 슬릿으로 되어있답니다,https://www.musinsa.com/review/goods/2086653
믿고 사는 무탠다드 레이어드용 반팔티! 질이 좋아요,https://www.musinsa.com/review/goods/2086653
만족스러운 기장감에 레이어드가 충분히 잘돼요!,https://www.musinsa.com/review/goods/2086653
"평소 입는 옷들에 휘뚜루마뚜루 입어도 다 잘어울리고 길이감도 딱 잘떨어지는거같아요!
만약 오버핏 후드티나 큰 상의 안에 입으려면 길이 조금 더 긴 티를 사는게 좋을거같아요!",https://www.musinsa.com/review/goods/2086653
레이어드 길이로 딱 알맞게 잘 나온것 같아서 추가로 구매해야겠습니다! 레이어드 아니더라도 넣입하셔도 이쁠것 같네여!!,https://www.musinsa.com/review/goods/2086653
"길이감도 너무 좋았고 옷이 막 얇은 편도 아니여서 구김도 많이 없어서 좋았던거 같아요 가을, 겨울 날씨에 옷 입으실때 레이어드 하고 싶은 분들이 입으면 좋을 거 같아요",https://www.musinsa.com/review/goods/2086653
레이어드했을 때 딱 적당하게 옷이 나와서 좋습니다. 생각보다 두껍지 않아서 여름에 입어도 괜찮았어요!,https://www.musinsa.com/review/goods/2086653
"보통 레귤러핏으로 잘 입고 다닌다면 이거 사시고
오버핏 자주 입으시면 롱 기장으로 사시는 거 추천
그냥 후드티에 이거 걸치면 기장이 이쁘게 딱인데
오버핏 후드티에 입으면 후드티가 반팔을 먹음
결론: 걍 롱기장 일반기장 두 개 다 사서 입어야 할 듯",https://www.musinsa.com/review/goods/2086653
"s사이즈 처음에 샀다가, xs도 필요할것 같아서 추가구매했습니다. 레이어드 하기 딱 좋은 기본템.
(사진에서 겉에 입은 상의의 기장은 63cm입니다.)",https://www.musinsa.com/review/goods/2086653
레이어드하기 딱 좋은 길이입니다 마음에 들어요,https://www.musinsa.com/review/goods/2086653
"레이어드 용으로 길이감 딱 좋구요. 뮤심하게 삐져나오는 아래 부분이 시크하게 연출가능합니다.
면느낌도 좋고 두께감이 있어 형태유지에 좋습니다.",https://www.musinsa.com/review/goods/2086653
저번에 긴기장 샀다가 너무 길어서 일반.기장 구매해ㅆ습니다 너무 맘에 들어요,https://www.musinsa.com/review/goods/2086653
어깨랑 총장 딱 좋아요 레이어드 티셔츠 원탑인정,https://www.musinsa.com/review/goods/2086653
아 사이즈가 너무 큰 것 같은데 엉덩이 밑까지 다 덮네요,https://www.musinsa.com/review/goods/2086653
"재질도 탄탄하고, 편하고 좋네요. 가격도 착한 무탠다드 항상 잘 애용하고 있습니다.",https://www.musinsa.com/review/goods/2086653
품은 그렇게 넓지않은데 길이는 길어요 살짝 빳빳하고 퀄리티 낫배드,https://www.musinsa.com/review/goods/2086653
그냥 반팔이에요 검정색도 하나 더 구매해야 겠어여,https://www.musinsa.com/review/goods/2086653
래이어드된 티를 구입하고 싶었는데 적당한 길이와 원하는 스타일링은 낼 수 있어 너무 젛네요 옆 절개라인은 뽀인트를 줄 수 있어 좋네요 :),https://www.musinsa.com/review/goods/2086653
총장이 1cm만 짧았으면 완전 맘에 들었을텐데 그래도 이쁘고 좋아요!!,https://www.musinsa.com/review/goods/2086653
기본으로 입어도 되고 보통 후드티에 레이어드 하면 예븐거 같아요,https://www.musinsa.com/review/goods/2086653
레이어드로 하나 골랐는데 그냥 입고 나갈정도로 좋아요,https://www.musinsa.com/review/goods/2086653
레이어드 용으로 산건데 길이 진짜 딱이에요 트임 조금 있어서 더 핏 예쁘고 재질도 탄탄한 면이라서 오래 입을 수 있을 거 같아요 헤지면 또 살게요!!,https://www.musinsa.com/review/goods/2086653
레이어드 할 티셔츠를 찾고있었는데 이걸로 잘 산 것 같아요 일반 기장이여도 대부분 맨투맨은 레이어드 될듯,https://www.musinsa.com/review/goods/2086653
긴 기장 보다 일반 기장이 부담스럽지 않게 레이어드 하기 좋은 것 같아요! 레이어드용으로 필수템,https://www.musinsa.com/review/goods/2086653
"레이어드 티로 입기 딱 적당한 기장이에요!
옷도 편하고 단벌로 입어도 좋을 거 같아요",https://www.musinsa.com/review/goods/2086653
"히히 jji jji 발사!! 
ggok jjis 테이프 붙이고 입겠읍니다.",https://www.musinsa.com/review/goods/2086653
목 늘어남도 없고 밑단 절개 포인트 아주 좋네요 기장도 적당하고 가격도한 매우 저렴해서 적극 추천합니다 하나 더 주문하겠습니다,https://www.musinsa.com/review/goods/2086653
말이 필요없는 무탠다드 기본템...매일 입고 만족합니다.,https://www.musinsa.com/review/goods/2086653
"길이감 적당해서 레이어드 할 때 정말 좋을 거 같아요 가격도 합리적이고 착용감도 좋은것 같습니다.
추가적으로 몇벌더 구매할것같네요",https://www.musinsa.com/review/goods/2086653
