URL,리뷰 내용
https://www.musinsa.com/review/goods/1620237,너무 맘에 들아요 ㅎㅎ 사이즈도 잘 맞고 색상도 예쁘네요. 블랙같아요
https://www.musinsa.com/review/goods/1620237,"이벤트로 저렴하게 사서 좋습니다
니트도 이뻐요"
https://www.musinsa.com/review/goods/1620237,이뻐요. 살좀빼면 좋겠네요 촉감도 부드럽고 오래입을옷
https://www.musinsa.com/review/goods/1620237,행사할때 질 구매했고 배송도 빠릅니다. 생각했던 핏보단 좀 타이트하네요
https://www.musinsa.com/review/goods/1620237,"역시폴로입니다! 거의매일입네요
그런데 목이쉽게늘어나네요"
https://www.musinsa.com/review/goods/1620237,남자 친구 선물로 사줬는데 키 174 기준 사이즈 적당하게 잘 맞아서 좋았습니다 색감이 예쁘고 질도 괜찮은거 같아요
https://www.musinsa.com/review/goods/1620237,잘입겠습니다 앞으로 폴로는 무신사에서 사야겠어요
https://www.musinsa.com/review/goods/1620237,제 사이즈에 라지가 딱이에요 생각보다 커서 작게 입으셔야 해요 옷 품질굿입니다
https://www.musinsa.com/review/goods/1620237,좋은 가격에 좋은 상품 받았어요 생각보다 부드럽고 색이 진해요
https://www.musinsa.com/review/goods/1620237,제 남자친구 사줬는데 좀 많이 길긷해요 저 근데 배는 나와서 또 맞는거같기고하고 기장만 길고 나머지는 다 맞아요^^
https://www.musinsa.com/review/goods/1620237,쿠폰으로 싸게 잘샀어요. 보풀이 좀 많이 묻어나오지만 이쁩니다
https://www.musinsa.com/review/goods/1620237,네이비에 가까운 어두운 색. 빨면 늘어날 것 같아서 걱정
https://www.musinsa.com/review/goods/1620237,"길이가 좀 길어요!! 그거 빼고는 아주 이쁩니다
다른색상도 구매할예정이에요"
https://www.musinsa.com/review/goods/1620237,배송도 빠르고 상품도 맘에듭니다 저렴한가격에 구매해서 좋아요
https://www.musinsa.com/review/goods/1620237,입었을때 더 이쁜 폴로 니트입니다 자주 입을 것 같아요
https://www.musinsa.com/review/goods/1620237,케이블니트는 처음인데 생각보다 편하고 저렴하게 구매할 수 있어서 좋습니다
https://www.musinsa.com/review/goods/1620237,쿠폰20프로에 적립금 선할인받아서 아울렛보다 저렴하게 구매함. 다른 리뷰에서도 그렇듯 정가에 사긴 아쉬운 퀄이지만 폴로는 폴로다... 사이즈 181에 76 살짝 넉넉함 m은 정핏나오는듯
https://www.musinsa.com/review/goods/1620237,"믿고 사는 폴로랄프, 늘 만족하면서 입고 촉감도 너무 좋아요"
https://www.musinsa.com/review/goods/1620237,"남자친구 선물 줬는데 사이즈 찰떡이라 좋았습니당. 
핏은 정핏으로 떨어지는게 제일 예뻐요"
https://www.musinsa.com/review/goods/1620237,사이즈 고민 많이 했는데 잘 맞아요~ 엑라하길 잘 한거 같아요 ㅎㅎ
https://www.musinsa.com/review/goods/1620237,잘 맞아요~ 남자 제품이 여자 제품보다 훨 질이 좋아요 ㅜ
https://www.musinsa.com/review/goods/1620237,뭐 사실 폴로케이블니트 길게말해서 뭐하나요 깔끔하게 입고싶을때 입어주면 그냥 끝나죠. 거기에 쿠폰할인받아서 샀으니 최고네요!! 사이즈는 제 스펙기준 M사이즈가 딱인것 같습니다!! 색상은 전형적인 네이비색이라고 보면될것 같아요!!
https://www.musinsa.com/review/goods/1620237,뭐 사실 폴로케이블니트 길게말해서 뭐하나요 깔끔하게 입고싶을때 입어주면 그냥 끝나죠. 거기에 쿠폰할인받아서 샀으니 최고네요!! 사이즈는 제 스펙기준 M사이즈가 딱인것 같습니다!!
https://www.musinsa.com/review/goods/1620237,네이비 컬러에 빨강 로고가 아주 이쁩니다. 소매랑 기장이 생각보다 길어서 놀랐어요. 빼서 입으면 길어서 넣입으로 입어야 할듯요.
https://www.musinsa.com/review/goods/1620237,"소재 좋고 부드러워서 착용감 좋아요
폴로 믿고 삽니더"
https://www.musinsa.com/review/goods/1620237,코튼소재라서 그런건지 옷에 힘이 없어요. 그래서 잘 늘어나고 한번 입었는데 목이랑 소매가 엄청 늘어났네요
https://www.musinsa.com/review/goods/1620237,너무너무 마음에 들어요~ 쿠폰으로 싸게 구매해서 좋아요
https://www.musinsa.com/review/goods/1620237,옷은 너무 예쁩니다! 레이어드해서 입으면 딱 좋을 두께감이에요.
https://www.musinsa.com/review/goods/1620237,"단점 보풀이 tr재질 슬랙스에 너무 많이 묻는다
장점 이쁘다 이쁘다"
https://www.musinsa.com/review/goods/1620237,폴로 제품 세일할 때 저렴하게 구매 해서 만족합니다
https://www.musinsa.com/review/goods/1620237,배송은 바로 보내주셔서 너무 빨리 받았구요! 소재좋고 부드럽습니당! 네이비라 무난 기본템이지만 어디에도 매치하기 쉽고 잘 입어질 옷입니당! 잘 산거 같아요
https://www.musinsa.com/review/goods/1620237,"어깨 넓고 팔도 근육형이라 안맞을까봐 엄청 걱정했는데 라지 딱임,,, 더 큰거 했으면 목 부분이 허벌이었을거 같음! 팔 살짝 길지만 조금 걷어 입으면 더 예쁨,, 헤 ㅎㅎ기본 무난템이지만 어디에 입어도 어울리고, 쉽게 입을 수 있으니깐! 잘 산것 같아용 봄에 잘 입을것 같아요!"
https://www.musinsa.com/review/goods/1620237,"니트라서 늘어날거 예상하고 딱맞게샀어요 좋아요
도움돼요"
https://www.musinsa.com/review/goods/1620237,"색상이랑 터치 좋습니다.
크게 나오니 한치수 작게 사는거 추천 드려요."
https://www.musinsa.com/review/goods/1620237,"색상이랑 터치 너무 좋습니다.
크게 나오니 한치수 작게 사세요."
https://www.musinsa.com/review/goods/1620237,사이즈가 크단 소리듣고 한치수 작게사니 딱 이네요.
