item_id,review
957758,"1. 크기 : 맨발은 270mm으로 실측되며, 발볼 및 양말을 신었을 때를 고려해서 280mm으로 주문했습니다. 그 결과 약간 여유있고 좋아요. 
2. 배송 : 주문하고 다음날 제품을 받았어요.
3. 착화감 : 기존 올드스쿨 제품을 비교하면서 신었을 때 발을 감싸는 느낌은 크게 다르지 않았습니다. 하지만 무게는 컴퍼쿠시가 더 가벼웠습니다. 전작 대비 무게가 30% 정도 더 가볍다는 느낌이 드네요."
3882622,"1. 통 왤케이쁨?
2. 팁 왕 굵자나?
3. 패키지,단상자 싹다맘에드는데?
담번에또살듯
신규색상출시해줘요"
3791988,"1. 허리 넉넉 (벨트 필요)
2. 핏 예쁨 (기장감 좋음)
3. 통이 넓어서 여름에도 가능
4. 착용감이 좋아서 손이 자주 감
5. 3만원 안하는 바지라는 것이 말이 안된다
6. 안씻고 입어도 ㄱㅊ"
3682262,"1.5업했고 일본가서도 못샀는데
여기서사네요. 존버는 승리한다!
착화감 생각보다 좋고 이쁨
사실 사려던색은 아닌데, 이쁘네요"
1618312,"1.70kg대 체형에 잘 맞는 여유로운 핏
2.길이감:엉덩이 아래로 푹 감싸는 길이
3.원단:찰랑찰랑매끄러움을 기대하고 사면 실망할수도 있습니다
적당한 느낌의 빳빳한 원단입니다
4.어깨핏은 넓지 않은편이라 맘에 더 듭니다
5.팔통 넓이는 몸통넓이에 비해 좁게 제작된 편이지만 적당히 움직이기 좋습니다."
3495320,1+1에 가격도 적당하고 요즘날씨에 딱인것같습니다
947067,100원의 행복이란 이런것인가?? 이번 겨울 잘 보낼게욤
2482269,100이랑 95사이즈랑 고민했는데 제가 원하는 핏으로 잘맞아요!
3771149,"105 사이즈 정도? 그것보다 살짝 큽니다
얇은 바람막이는 아니고 옷 안에 메쉬 덧댄 느낌입니다
겨울에도 좋고 에어컨 맞는 여름에도 입기에 괜찮습니다"
2482269,105 샀다가 100으로 바꿨는데도 덩치 커보이긴 하네여 95살걸…
3390508,"105-110 입는데 낙낙하니 좋습니다
손목이랑 허리 고무줄도 있고 
다른색깔도 구매해야겠습니다
이 가격에 정말 만족해요"
4226785,"10년 넘게 늘 신는 신발이라 또 구매했는데
신발 밑창 접착부분이 정말 별로고
발등 부분에 뭐가 붙어있어서 떼려고 했는데
안 떼지네요.. 큰건 아니라서 그냥 신을 건데
검수는 안하고 보내시나봅니다"
3976350,"10년만에 나이키 에어포스원을 구매해서 신어봅니당
만족합니다~!"
1762406,10업하시는 분들 반업하시면 될것같아요 추천
3378514,10월 5일 배송이라 해놓고 너무 늦게 온거 같네요.
2679789,10월에 사서 가을부터 지금까지 나갈 때 타즈만 신고 있어요 흔하지 않은 디자인에 착화감도 좋고 가볍고 따뜻하고 좋아요
3417694,"11.1a 잘 신고 있다가 647이 그렇게 맛있다고 해서 구매했는데, 이건 진또배기입니다. 일단 착화감이 사기예요."
2149254,110사이즈 보다 조금 큰느낌 입니다 편하게 입기 좋아요 아직 세탁 안해봤지만 조금 줄것 같아요 면부들부들 하고 좋습니다
2482269,"110인데 기장이 딱 맞아요
확실히 살짝은 짧게 나온거 같아요
크롭느낌으로 
안에 두툼한 후드 입으니까 110이 딱이에요
디자인은 무난하고 이뻐요"
3378514,11월 18일에 주문해서 20일에 배송받았습니당 무신사는 배송이 빨라서 참 좋아요. 충전 제가 따뜻한 소재는 아니라서 약간 걱정했는데 많이 껴입고 입으면은 한 겨울에도 잘 입을 수 있을 것 같아요. 키가 크고 그래서 체격도 어느 정도 있는 편이라서 S 사이즈 입기 망설였는데 여성 용이 아니라서 잘 맞더라고요. 여성용은 투웨이 지퍼가 아닌데 남성용은 투웨이더라고요? 여자 분들도 투웨이 좋아하시면 이거 사면 될 거 같아요
2108160,11월 중순까지 따뜻하게 잘 입고 다녔음 이젠 추워서 못 입지만 …
1867509,"12시간 후 (중간에 수정화장 1회) 사진입니다
배송 진짜 빨리 왔어요 지방 사는데도 하루만에 와서 놀랐어요
예전보다 촉촉하고 얇게 발려서 다시 헤라 쓰려고요 넘 좋아요"
810034,12월 19일 첫 배송완료되고 교환받다가 지쳐서 새로시켰는데 또 불량.. 결국 이제 왔네용..ㅎ 한달 넘게 싸운 거 같은 느낌..ㅎㅎ 제 후기 보시고 본인 신발 안쪽이랑 바깥 다 확인하길 바랍니다..ㅎㅎ 일부로 짭받기 싫어서 무신사에서 주문한건데 퀄은 거의 뭐..
3390511,12월14일에 배송 온다고 했는데 어제 배송와서 놀랐고 옷도 엄펑 예뻐요
2092852,"12월27일 주문해서 1월13일에 받은거라 기대 엄청했었는데 오래 기다린보람이 있네요
키가 작아 기장은 길지만 접어입어도 이뻐요
바지 자체가 무난하니 너무 이뻐서 어떤 옷이든 잘 어울릴것 같아요
계속된 지연으로 오래걸렸지만 만족이에요"
